,caseID,eoff,acc,crash
714,1,4.3,-7.8,1
715,1,4.4,-7.8,1
716,1,4.5,-7.8,1
717,1,4.6,-7.8,1
718,1,4.7,-7.8,1
719,1,4.8,-7.8,1
720,1,4.9,-7.8,1
721,1,5,-7.8,1
722,1,5.1,-7.8,1
723,1,5.2,-7.8,1
724,1,5.3,-7.8,1
725,1,5.4,-7.8,1
726,1,5.5,-7.8,1
727,1,5.6,-7.8,1
728,1,5.7,-7.8,1
729,1,5.8,-7.8,1
730,1,5.9,-7.8,1
731,1,6,-7.8,1
732,1,6.1,-7.8,1
733,1,6.2,-7.8,1
734,1,6.3,-7.8,1
735,1,6.4,-7.8,1
736,1,6.5,-7.8,1
737,1,6.6,-7.8,1
738,1,0,-8.3,0
739,1,0.1,-8.3,0
740,1,0.2,-8.3,0
741,1,0.3,-8.3,0
742,1,0.4,-8.3,0
743,1,0.5,-8.3,0
744,1,0.6,-8.3,0
745,1,0.7,-8.3,0
746,1,0.8,-8.3,0
747,1,0.9,-8.3,0
748,1,1,-8.3,1
749,1,1.1,-8.3,1
750,1,1.2,-8.3,1
751,1,1.3,-8.3,1
752,1,1.4,-8.3,1
753,1,1.5,-8.3,1
754,1,1.6,-8.3,1
755,1,1.7,-8.3,1
756,1,1.8,-8.3,1
757,1,1.9,-8.3,1
758,1,2,-8.3,1
759,1,2.1,-8.3,1
760,1,2.2,-8.3,1
761,1,2.3,-8.3,1
762,1,2.4,-8.3,1
763,1,2.5,-8.3,1
764,1,2.6,-8.3,1
765,1,2.7,-8.3,1
766,1,2.8,-8.3,1
767,1,2.9,-8.3,1
768,1,3,-8.3,1
769,1,3.1,-8.3,1
770,1,3.2,-8.3,1
771,1,3.3,-8.3,1
772,1,3.4,-8.3,1
773,1,3.5,-8.3,1
774,1,3.6,-8.3,1
775,1,3.7,-8.3,1
776,1,3.8,-8.3,1
777,1,3.9,-8.3,1
778,1,4,-8.3,1
779,1,4.1,-8.3,1
780,1,4.2,-8.3,1
781,1,4.3,-8.3,1
782,1,4.4,-8.3,1
783,1,4.5,-8.3,1
784,1,4.6,-8.3,1
785,1,4.7,-8.3,1
786,1,4.8,-8.3,1
787,1,4.9,-8.3,1
788,1,5,-8.3,1
789,1,5.1,-8.3,1
790,1,5.2,-8.3,1
791,1,5.3,-8.3,1
792,1,5.4,-8.3,1
793,1,5.5,-8.3,1
